order_id,worker_id,service_time,delivery_cost,estimated_profit
51407,3159.0,57.78759,9.50362,40.49638
35355,149.0,26.75689,3.35049,46.64951
9787,732.0,34.72259,5.95487,44.04513
41827,3503.0,16.12111,2.81425,47.18575
41832,4215.0,17.96729,3.27126,46.72874
29016,2192.0,28.17846,4.54974,45.45026
45143,2270.0,18.72264,3.03951,46.96049
162,693.0,35.67183,5.69709,44.30291
26009,770.0,30.27065,4.46196,45.53804
61078,1486.0,11.23246,1.10788,48.89212
48505,2956.0,34.05414,6.87444,43.12556
48524,92.0,15.2308,2.01111,47.98889
13200,1534.0,21.16852,2.79317,47.20683
57982,1873.0,39.88466,8.28442,41.71558
